code,title,folder,filename,category,suggestedModule,isoClause,version,extractedDate,confidence,apiState,recommendedAction
QM-001-2026,دليل نظام إدارة الجودة,01_السياسات_والأهداف,QM-001-2026-دليل-نظام-إدارة-الجودة.docx,manual,Document,7.5,2.0,2026-02-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QM-002-2026,نطاق نظام إدارة الجودة والخدمات الرقمية,01_السياسات_والأهداف,QM-002-2026-نطاق-نظام-إدارة-الجودة.docx,policy,QualityPolicy,4.4,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QP-001-2026,سياسة الجودة,01_السياسات_والأهداف,QP-001-2026-سياسة-الجودة.docx,policy,QualityPolicy,5.2,2.0,2026,high,موجود كسجل سياسة جودة وليس كوثيقة منشورة,تحديد هل يكفي كسجل سياسة أو يلزم نسخة منشورة في الوثائق
QP-002-2026,أهداف الجودة والمؤشرات الرقمية,01_السياسات_والأهداف,QP-002-2026-أهداف-الجودة.docx,strategic_plan,StrategicGoal,6.2,2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QP-003-2026,إدارة المخاطر والفرص,01_السياسات_والأهداف,QP-003-2026-إدارة-المخاطر-والفرص.docx,policy,QualityPolicy,6.1,2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QP-004-2026,ضبط الوثائق والسجلات,01_السياسات_والأهداف,QP-004-2026-ضبط-الوثائق-والسجلات.docx,policy,QualityPolicy,7.5,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QP-005-2026,سياسة التوثيق الرشيق والأدلة المرئية,01_السياسات_والأهداف,QP-005-2026-سياسة-التوثيق-الرشيق.docx,policy,QualityPolicy,"7.5, 7.1.6, 7.2, 8.1",1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
FIN-001-2026,السياسة المالية واسترداد التبرعات,02_الإجراءات_التشغيلية,FIN-001-2026-السياسة-المالية-واسترداد-التبرعات.docx,policy,QualityPolicy,"5.2, 6.1, 6.2, 7.5",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
HR-001-2026,إجراء الموارد البشرية والكفاءة,02_الإجراءات_التشغيلية,HR-001-2026-إجراء-الموارد-البشرية.docx,procedure,Document,"7.1.2, 7.2, 7.3, 5.1.1, 6.1",1.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IT-001-2026,سياسة البنية التحتية التقنية واستمرارية العمل,02_الإجراءات_التشغيلية,IT-001-2026-سياسة-البنية-التحتية-التقنية.docx,policy,QualityPolicy,"7.1.3, 7.1.4, 5.1.1, 6.1",1.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUR-001-2026,إجراء المشتريات وتقييم الموردين,02_الإجراءات_التشغيلية,PUR-001-2026-إجراء-المشتريات-والموردين.docx,procedure,Document,8.4,1.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QS-001-2026,إجراءات تقديم الخدمات والمساعدات,02_الإجراءات_التشغيلية,QS-001-2026-إجراءات-تقديم-الخدمات.docx,procedure,Document,7.5,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QS-002-2026,إدارة المتطوعين,02_الإجراءات_التشغيلية,QS-002-2026-إدارة-المتطوعين.docx,procedure,Document,7.5,2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QS-003-2026,إدارة التبرعات,02_الإجراءات_التشغيلية,QS-003-2026-إدارة-التبرعات.docx,procedure,OperationalActivity,7.5,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QS-004-2026,حماية المستفيدين والشكاوى,02_الإجراءات_التشغيلية,QS-004-2026-حماية-المستفيدين-والشكاوى.docx,procedure,Document,8.2.1,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
GOV-001-2026,ميثاق مجلس الإدارة واللجان,03_الحوكمة_والمخاطر,GOV-001-2026-ميثاق-مجلس-الإدارة-واللجان.docx,policy,QualityPolicy,"5.1, 5.2, 6.1",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
GOV-002-2026,سياسة الإفصاح والشفافية,03_الحوكمة_والمخاطر,GOV-002-2026-سياسة-الإفصاح-والشفافية.docx,policy,QualityPolicy,"5.1.1, 6.1",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
MR-001-2026,أجندة مراجعة الإدارة,03_الحوكمة_والمخاطر,MR-001-2026-أجندة-مراجعة-الإدارة.docx,procedure,Document,"5.2, 6.1",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
MR-002-2026,تقرير مراجعة الإدارة ومخرجاته,03_الحوكمة_والمخاطر,MR-002-2026-تقرير-مراجعة-الإدارة.docx,report,Document,"5.1.1, 6.1",2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
CA-001-2026,إجراء عدم المطابقة والإجراءات التصحيحية,04_التدقيق_والتحسين,CA-001-2026-إجراء-عدم-المطابقة-والإجراءات-التصحيحية.docx,procedure,Document,8.5.2,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
CA-002-2026,سجل متابعة الإجراءات التصحيحية,04_التدقيق_والتحسين,CA-002-2026-سجل-متابعة-الإجراءات-التصحيحية.docx,form,Document,8.5.2,2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-001-2026,خطة التدقيق الداخلي 2026,04_التدقيق_والتحسين,IA-001-2026-خطة-التدقيق-الداخلي.docx,operational_plan,Document,8.2.3,2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-002-2026,نموذج تقرير التدقيق الداخلي الرقمي,04_التدقيق_والتحسين,IA-002-2026-نموذج-تقرير-التدقيق-الداخلي.docx,form,Document,"8.2.3, 8.2.4",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
GOV-002-2026,سياسة الإفصاح والشفافية,05_وثائق_النشر_العام,GOV-002-2026-سياسة-الإفصاح-والشفافية.docx,policy,QualityPolicy,"5.1.1, 6.1",2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUB-005-2026,سياسة الإفصاح والشفافية,05_وثائق_النشر_العام,PUB-005-2026-سياسة-الإفصاح-والشفافية.docx,policy,QualityPolicy,5.2,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUB-006-2026,سياسة مكافحة الاحتيال والفساد,05_وثائق_النشر_العام,PUB-006-2026-سياسة-مكافحة-الاحتيال.docx,policy,QualityPolicy,5.2,PUB-006-2026,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUB-007-2026,سياسة حماية المستفيدين,05_وثائق_النشر_العام,PUB-007-2026-سياسة-حماية-المستفيدين.docx,policy,QualityPolicy,5.2,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUB-008-2026,سياسة استرداد التبرعات,05_وثائق_النشر_العام,PUB-008-2026-سياسة-استرداد-التبرعات.docx,policy,QualityPolicy,5.2,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
PUB-009-2026,السياسة المالية العامة,05_وثائق_النشر_العام,PUB-009-2026-السياسة-المالية-العامة.docx,policy,QualityPolicy,5.2,PUB-009-2026,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QP-001-2026,سياسة الجودة,05_وثائق_النشر_العام,QP-001-2026-سياسة-الجودة.docx,policy,QualityPolicy,5.2,2.0,,high,موجود كسجل سياسة جودة وليس كوثيقة منشورة,تحديد هل يكفي كسجل سياسة أو يلزم نسخة منشورة في الوثائق
QP-002-2026,أهداف الجودة والمؤشرات الرقمية,05_وثائق_النشر_العام,QP-002-2026-أهداف-الجودة.docx,strategic_plan,StrategicGoal,6.2,2.0,2026,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
QS-004-2026,حماية المستفيدين والشكاوى,05_وثائق_النشر_العام,QS-004-2026-حماية-المستفيدين-والشكاوى.docx,policy,QualityPolicy,"5.2, 6.1, 8.2",2.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-001,الجودة ببساطة: دليلك لفهم رحلتنا نحو التميز,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-001-الملخص_المبسط_للجودة.docx,manual,Document,7.5,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-001,دليل منسوبي الجمعية لتعميم الجودة والتحول الرقمي,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-001-دليل_منسوبي_الجمعية_لتعميم_الجودة.docx,manual,Document,7.5,TR-001,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-002,تقرير التدقيق الذاتي وتحليل فجوات الجودة,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-002-تقرير_الفجوات_والتدقيق_الذاتي.docx,report,Document,"7.3, 8.5, 9.2",TR-002,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-002,تقرير تقييم الفجوات والتدقيق الداخلي الاستباقي,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-002-تقرير_تقييم_الفجوات_والتدقيق_الداخلي.docx,report,Document,"9.2, 7.3, 7.5, 8.7, 7.1.6",الإصدار المرجعي,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-003,أمثلة عملية لسجل المخاطر والفرص,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-003-أمثلة_المخاطر_والفرص.docx,manual,Document,6.1,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-003,سجل المخاطر والفرص المؤسسية,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-003-أمثلة_المخاطر_والفرص_المؤسسية.docx,manual,Document,6.1,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-004,الدليل الاسترشادي المتقدم لإدارة الجودة الآيزو - نسخة الإدارة العليا,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-004-الدليل_الاسترشادي_القيادي.docx,manual,Document,"4, 5, 6, 7, 8, 9, 10",,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-004,الدليل الاسترشادي المتقدم لمعايير الآيزو 9001:2015 (سؤال وجواب),06_أدلة_التدريب_والنماذج_الاسترشادية,TR-004-الدليل_الاسترشادي_سؤال_وجواب.docx,manual,Document,"4.1, 5.1, 6.1, 6.2, 7.1, 8.1, 9.1, 10.1",,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-005,نماذج تطبيقية لمحاضر مراجعة الإدارة,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-005-نماذج_تطبيقية_لمحاضر_مراجعة_الإدارة.docx,manual,Document,9.3,,2026-02-10,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-006,خطة اجتماعات ونقاشات الجودة,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-006-خطة_اجتماعات_ونقاشات_الجودة.docx,operational_plan,OperationalActivity,"5.2, 7.4",,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
TR-007,خارطة طريق مدير الجودة,06_أدلة_التدريب_والنماذج_الاسترشادية,TR-007-خارطة_طريق_مدير_الجودة.docx,manual,Document,"4.4, 5.2, 6.2, 7.5, 8.2, 9.2",,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
REG-001-2026,سجل تقييم الموردين التجاريين,07_نماذج_التقييم,REG-001-2026-VAL-تقييم-مورد-تجاري.docx,form,Document,8.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
REG-002-2026,سجل تقييم موردي الخدمات ومقاولي الباطن,07_نماذج_التقييم,REG-002-2026-VAL-تقييم-مورد-خدمات.docx,form,Document,8.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
REG-003-2026,سجل تقييم موردي الصناعات,07_نماذج_التقييم,REG-003-2026-VAL-تقييم-مورد-صناعي.docx,form,Document,8.4,1.0,2026-01-01,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-SMART-001,دليل المدقق الذكي للأنظمة الآلية,08_أدوات_التدقيق_الذكي,IA-SMART-001-دليل_المدقق_الذكي_للأنظمة_الآلية.docx,manual,Document,8.6,001,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-SMART-002,قائمة التحقق الرشيقة للتدقيق الداخلي للإدارات,08_أدوات_التدقيق_الذكي,IA-SMART-002-قائمة_التحقق_الرشيقة_للإدارات.docx,form,Document,"8.2, 9.2",002,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-SMART-003,نموذج تقرير اكتشاف ثغرات النظام وفرص التحسين,08_أدوات_التدقيق_الذكي,IA-SMART-003-نموذج_تقرير_اكتشاف_ثغرات_النظام.docx,form,Document,8.5.2,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-SMART-004,دليل سيناريو التسوق الخفي لاختبار رحلة المستفيد,08_أدوات_التدقيق_الذكي,IA-SMART-004-سيناريو_التسوق_الخفي_لرحلة_المستفيد.docx,procedure,Document,8.2.1,IA-SMART-004,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
IA-SMART-005,خلاصة أفضل الممارسات العالمية للتدقيق الداخلي في البيئات الرقمية,08_أدوات_التدقيق_الذكي,IA-SMART-005-خلاصة_أفضل_الممارسات_العالمية_للتدقيق.docx,manual,Document,8.2,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
AUD-001,قائمة التحقق النهائية قبل التدقيق,09_تجهيزات_زيارة_التدقيق,AUD-001-قائمة_التحقق_النهائية_قبل_التدقيق.md,form,Document,8.6,1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
AUD-002,محضر اجتماع مراجعة الإدارة,09_تجهيزات_زيارة_التدقيق,AUD-002-محضر_مراجعة_الإدارة_جاهز_للتعبئة.md,form,Document,5.3,AUD-002,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
AUD-003,تعريف الجمعية وخريطة العمليات,09_تجهيزات_زيارة_التدقيق,AUD-003-تحليل_السياق_وخريطة_العمليات.md,manual,Document,4.4,1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
AUD-004,أسئلة المدقق المتوقعة وإجاباتها - دليل تدريبي,09_تجهيزات_زيارة_التدقيق,AUD-004-سيناريو_الأسئلة_المتوقعة_من_المدقق.md,manual,Document,8.6,1.0,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,الفهرس الرئيسي لمجموعة الإجراءات الموحدة 2026,11_الاجراءات_الموحدة_2026,00_الفهرس_الرئيسي.md,manual,Document,"4.4, 5.3, 9.1.1",1.0,2026-04-18,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,خريطة الإجراءات الشاملة,11_الاجراءات_الموحدة_2026,01_خريطة_الاجراءات.md,procedure,Document,4.4,01,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,مصفوفة المسؤوليات RACI,11_الاجراءات_الموحدة_2026,02_مصفوفة_المسؤوليات_RACI.md,procedure,Document,5.3,,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,كتالوج مؤشرات الأداء KPI,11_الاجراءات_الموحدة_2026,03_كتالوج_مؤشرات_الاداء_KPI.md,procedure,Document,9.1.1,03,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,قائمة المراجعة اليومية للأقسام,11_الاجراءات_الموحدة_2026,10_قائمة_المراجعة_اليومية.md,procedure,Document,7.5,10,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
,قائمة المراجعة الأسبوعية,11_الاجراءات_الموحدة_2026,11_قائمة_المراجعة_الاسبوعية.md,procedure,Document,"8.2.3, 8.2.4",11,,high,موجود كمستند محلي فقط,تسجيله في وحدة الوثائق أو ربطه بالموديول المناسب
